"No.","Time","Source","Destination","Protocol","Length","Info"
"82","9.408071972","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"83","9.409469425","192.168.8.159","104.239.142.81","UDP","74","53091  >  5010 Len=32"
"84","9.602953597","104.239.142.81","192.168.8.159","UDP","95","5010  >  53091 Len=53"
"85","9.604772979","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"86","9.801014297","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"87","9.802513570","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"88","9.998460560","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"89","9.999792654","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"90","10.198078083","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"91","10.199575355","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"92","10.395436386","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"93","10.407436017","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"94","10.607830665","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"95","10.609540237","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"96","10.807173889","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"97","10.808485793","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"98","11.004645742","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"99","11.006074325","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"100","11.204139845","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"101","11.205547238","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"102","11.401961927","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"103","11.403332550","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"104","11.596385565","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"105","11.597586109","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"106","11.793212441","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"107","11.794470145","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"108","12.007630921","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"109","12.009128593","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"110","12.205492672","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"111","12.206868715","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"112","12.403069615","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"113","12.404443468","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"114","12.602333529","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"115","12.603548043","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"116","12.802660278","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"117","12.803949242","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"118","13.004576530","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"119","13.005852533","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"120","13.205004409","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"121","13.206552041","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"122","13.404818470","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"123","13.406113194","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"124","13.602924391","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"125","13.604505723","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"126","13.803542869","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"127","13.804993461","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"128","14.002776773","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"129","14.004094787","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"130","14.201571780","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"131","14.202774444","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"132","14.401634941","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"133","14.403055124","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"134","14.597496752","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"135","14.599026165","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"136","14.798277750","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"137","14.799469104","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"138","14.997603394","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"139","14.998925338","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"140","15.196089323","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"141","15.197247597","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"142","15.409774856","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"143","15.411151050","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"144","15.605952017","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"145","15.607410119","192.168.8.159","104.239.142.81","UDP","87","53091  >  5010 Len=45"
"146","15.804324136","104.239.142.81","192.168.8.159","UDP","157","5010  >  53091 Len=115"
